"","classe","formato.chapéu","superficie.chapéu","cor.chapéu","manchas","cheiro","fixação.himênio","espaço.himênio","tamanho.himênio","cor.himênio","formato.estipe","micélio","superficie.estipe.acima.anel","superficie.estipe.abaixo.anel","cor.estipe.acima.anel","cor.estipe.abaixo.anel","tipo.volva","cor.volva","numero.anel","tipo.anel","cor.esporo","população","habitat"
"22","venenoso","convexo","escamoso","marrom","manchado","forte","livre","perto","estreito","marrom","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","graminea"
"23","comestível","sino","escamoso","amarelo","manchado","anis","livre","perto","largo","preto","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","prados"
"25","comestível","sino","macio","branco","manchado","anis","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","espalhado","prados"
"27","comestível","convexo","escamoso","amarelo","manchado","amendoa","livre","perto","largo","marrom","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","numeroso","prados"
"28","comestível","convexo","escamoso","branco","manchado","anis","livre","perto","largo","branco","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","numeroso","prados"
"29","comestível","plano","fibroso","marrom","sem mancha","nenhum","livre","perto","estreito","preto","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","preto","solitario","urbano"
"31","comestível","sino","macio","amarelo","manchado","anis","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","numeroso","prados"
"32","venenoso","convexo","escamoso","branco","manchado","forte","livre","perto","estreito","preto","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","urbano"
"33","comestível","convexo","escamoso","amarelo","manchado","anis","livre","perto","largo","marrom","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","numeroso","prados"
"35","comestível","sino","escamoso","amarelo","manchado","anis","livre","perto","largo","marrom","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","prados"
"36","comestível","convexo","fibroso","amarelo","manchado","anis","livre","lotado","estreito","branco","afilando","bulbo","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","madeiras"
"40","comestível","sino","macio","amarelo","manchado","anis","livre","perto","largo","preto","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","espalhado","prados"
"41","comestível","sino","escamoso","amarelo","manchado","amendoa","livre","perto","largo","marrom","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"43","comestível","convexo","fibroso","marrom","sem mancha","nenhum","livre","perto","estreito","cinza","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","preto","solitario","urbano"
"44","venenoso","convexo","escamoso","branco","manchado","forte","livre","perto","estreito","cor de rosa","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","graminea"
"45","comestível","convexo","macio","amarelo","manchado","amendoa","livre","perto","largo","branco","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","numeroso","prados"
"47","comestível","convexo","escamoso","amarelo","manchado","anis","livre","perto","largo","preto","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","espalhado","prados"
"48","comestível","convexo","macio","branco","manchado","anis","livre","perto","largo","branco","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","numeroso","prados"
"49","comestível","convexo","escamoso","amarelo","manchado","anis","livre","perto","largo","marrom","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","marrom","espalhado","caminhos"
"52","comestível","convexo","macio","branco","manchado","anis","livre","perto","largo","preto","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","espalhado","graminea"
"55","venenoso","convexo","macio","branco","manchado","forte","livre","perto","estreito","preto","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","preto","varias","urbano"
"58","comestível","sino","macio","branco","manchado","amendoa","livre","perto","largo","branco","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","numeroso","graminea"
"59","comestível","convexo","macio","amarelo","manchado","anis","livre","perto","largo","preto","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","numeroso","graminea"
"60","comestível","convexo","escamoso","marrom","manchado","amendoa","livre","perto","largo","cor de rosa","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","preto","solitario","caminhos"
"61","comestível","afunmushroom","fibroso","cinza","sem mancha","nenhum","livre","perto","estreito","preto","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","urbano"
"62","comestível","sino","escamoso","amarelo","manchado","amendoa","livre","perto","largo","preto","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","prados"
"63","comestível","sino","macio","amarelo","manchado","anis","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","prados"
"64","comestível","sino","escamoso","amarelo","manchado","anis","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","numeroso","prados"
"65","comestível","sino","escamoso","branco","manchado","anis","livre","perto","largo","marrom","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"66","comestível","plano","macio","marrom","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","preto","abundante","graminea"
"67","comestível","convexo","macio","branco","manchado","anis","livre","perto","largo","marrom","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","espalhado","graminea"
"68","comestível","plano","escamoso","amarelo","manchado","amendoa","livre","perto","largo","branco","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"69","comestível","convexo","escamoso","amarelo","manchado","amendoa","livre","perto","largo","branco","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","numeroso","graminea"
"70","comestível","convexo","fibroso","cinza","sem mancha","nenhum","livre","perto","estreito","cor de rosa","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","urbano"
"71","comestível","plano","fibroso","amarelo","manchado","anis","livre","lotado","estreito","cor de rosa","afilando","bulbo","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","madeiras"
"76","comestível","plano","macio","amarelo","manchado","anis","livre","lotado","estreito","cor de rosa","afilando","bulbo","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","madeiras"
"77","comestível","convexo","macio","branco","manchado","anis","livre","lotado","estreito","marrom","afilando","bulbo","macio","macio","branco","branco","parcial","branco","um","pendente","roxo","varias","madeiras"
"78","comestível","plano","escamoso","marrom","manchado","anis","livre","perto","largo","cor de rosa","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","marrom","solitario","caminhos"
"79","venenoso","convexo","escamoso","marrom","manchado","forte","livre","perto","estreito","branco","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","urbano"
"80","comestível","plano","escamoso","marrom","manchado","amendoa","livre","perto","largo","marrom","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","marrom","solitario","graminea"
"81","comestível","convexo","macio","marrom","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","fibroso","macio","branco","branco","parcial","branco","um","evanescente","marrom","espalhado","graminea"
"82","venenoso","convexo","escamoso","branco","manchado","forte","livre","perto","estreito","branco","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","preto","espalhado","graminea"
"83","comestível","plano","fibroso","cinza","sem mancha","nenhum","livre","perto","estreito","marrom","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","solitario","urbano"
"84","comestível","convexo","fibroso","cinza","sem mancha","nenhum","livre","lotado","largo","marrom","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","marrom","espalhado","graminea"
"85","comestível","convexo","escamoso","amarelo","manchado","anis","livre","perto","largo","branco","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","preto","espalhado","graminea"
"86","comestível","convexo","macio","marrom","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"87","comestível","sino","macio","branco","manchado","amendoa","livre","perto","largo","branco","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","espalhado","graminea"
"88","comestível","convexo","macio","branco","manchado","anis","livre","perto","largo","marrom","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"89","comestível","plano","escamoso","marrom","manchado","anis","livre","perto","largo","branco","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","preto","solitario","graminea"
"90","comestível","afunmushroom","fibroso","marrom","sem mancha","nenhum","livre","perto","estreito","marrom","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","urbano"
"93","comestível","convexo","escamoso","amarelo","manchado","amendoa","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","espalhado","graminea"
"94","comestível","convexo","escamoso","amarelo","manchado","anis","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","numeroso","prados"
"95","comestível","convexo","macio","marrom","sem mancha","nenhum","livre","lotado","largo","marrom","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","marrom","abundante","graminea"
"96","comestível","convexo","macio","branco","manchado","amendoa","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"97","comestível","plano","escamoso","marrom","manchado","anis","livre","perto","largo","cor de rosa","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"99","comestível","sino","macio","branco","manchado","amendoa","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"101","comestível","convexo","fibroso","marrom","sem mancha","nenhum","livre","lotado","largo","cor de rosa","afilando","uniforme","fibroso","macio","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"102","comestível","sino","macio","amarelo","manchado","anis","livre","perto","largo","marrom","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","numeroso","graminea"
"103","comestível","plano","escamoso","amarelo","manchado","anis","livre","perto","largo","branco","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"104","comestível","convexo","escamoso","amarelo","manchado","amendoa","livre","perto","largo","marrom","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","preto","solitario","caminhos"
"106","comestível","convexo","escamoso","amarelo","manchado","amendoa","livre","perto","largo","marrom","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","numeroso","prados"
"107","comestível","convexo","escamoso","amarelo","manchado","amendoa","livre","perto","largo","branco","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","marrom","solitario","graminea"
"109","comestível","sino","escamoso","branco","manchado","amendoa","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","prados"
"112","comestível","afunmushroom","fibroso","cinza","sem mancha","nenhum","livre","perto","estreito","cinza","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","preto","solitario","urbano"
"114","comestível","convexo","macio","amarelo","manchado","amendoa","livre","perto","largo","marrom","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","numeroso","prados"
"115","venenoso","convexo","escamoso","branco","manchado","forte","livre","perto","estreito","marrom","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","urbano"
"116","comestível","convexo","escamoso","amarelo","manchado","anis","livre","perto","largo","cor de rosa","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"117","comestível","afunmushroom","fibroso","cinza","sem mancha","nenhum","livre","perto","estreito","cor de rosa","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","solitario","urbano"
"118","comestível","convexo","escamoso","amarelo","manchado","anis","livre","perto","largo","branco","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","preto","solitario","graminea"
"120","comestível","afunmushroom","fibroso","marrom","sem mancha","nenhum","livre","perto","estreito","preto","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","solitario","urbano"
"121","venenoso","convexo","macio","branco","manchado","forte","livre","perto","estreito","preto","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","preto","varias","graminea"
"122","comestível","convexo","escamoso","branco","manchado","amendoa","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","numeroso","prados"
"123","venenoso","plano","escamoso","marrom","manchado","forte","livre","perto","estreito","cor de rosa","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","preto","varias","graminea"
"126","comestível","convexo","macio","branco","sem mancha","nenhum","livre","lotado","largo","marrom","afilando","uniforme","macio","fibroso","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"127","comestível","sino","macio","amarelo","manchado","amendoa","livre","perto","largo","branco","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","numeroso","graminea"
"128","comestível","plano","fibroso","cinza","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","marrom","abundante","graminea"
"129","comestível","convexo","macio","branco","manchado","anis","livre","perto","largo","marrom","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","numeroso","graminea"
"130","comestível","sino","macio","branco","manchado","anis","livre","perto","largo","marrom","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","prados"
"131","comestível","sino","macio","branco","manchado","anis","livre","perto","largo","branco","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"134","comestível","convexo","escamoso","amarelo","manchado","anis","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","espalhado","prados"
"135","comestível","plano","macio","branco","manchado","amendoa","livre","lotado","estreito","cor de rosa","afilando","bulbo","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","madeiras"
"137","comestível","plano","fibroso","branco","manchado","anis","livre","lotado","estreito","branco","afilando","bulbo","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","madeiras"
"138","comestível","convexo","escamoso","amarelo","manchado","amendoa","livre","perto","largo","marrom","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"139","venenoso","convexo","macio","marrom","manchado","forte","livre","perto","estreito","cor de rosa","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","graminea"
"142","comestível","sino","escamoso","amarelo","manchado","anis","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","numeroso","prados"
"144","comestível","plano","escamoso","marrom","manchado","amendoa","livre","perto","largo","branco","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","preto","solitario","caminhos"
"145","comestível","convexo","escamoso","amarelo","manchado","amendoa","livre","perto","largo","preto","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","numeroso","graminea"
"146","comestível","convexo","fibroso","cinza","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","fibroso","fibroso","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"148","comestível","convexo","escamoso","amarelo","manchado","anis","livre","perto","largo","branco","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","numeroso","prados"
"150","comestível","sino","escamoso","branco","manchado","amendoa","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","numeroso","prados"
"151","comestível","convexo","escamoso","branco","manchado","amendoa","livre","perto","largo","branco","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"152","comestível","convexo","macio","marrom","sem mancha","nenhum","livre","lotado","largo","cor de rosa","afilando","uniforme","fibroso","macio","branco","branco","parcial","branco","um","evanescente","marrom","abundante","graminea"
"154","comestível","afunmushroom","fibroso","marrom","sem mancha","nenhum","livre","perto","estreito","preto","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","preto","varias","urbano"
"155","comestível","convexo","macio","branco","manchado","amendoa","livre","lotado","estreito","branco","afilando","bulbo","macio","macio","branco","branco","parcial","branco","um","pendente","roxo","varias","madeiras"
"156","comestível","convexo","escamoso","marrom","manchado","anis","livre","perto","largo","branco","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","preto","espalhado","graminea"
"157","comestível","sino","escamoso","amarelo","manchado","amendoa","livre","perto","largo","preto","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","numeroso","graminea"
"158","comestível","convexo","escamoso","branco","manchado","amendoa","livre","perto","largo","preto","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","numeroso","graminea"
"160","comestível","sino","macio","amarelo","manchado","amendoa","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","espalhado","graminea"
"161","comestível","sino","macio","amarelo","manchado","anis","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","espalhado","prados"
"163","comestível","convexo","fibroso","marrom","sem mancha","nenhum","livre","perto","estreito","preto","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","solitario","urbano"
"164","comestível","plano","escamoso","marrom","manchado","anis","livre","perto","largo","marrom","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","marrom","solitario","graminea"
"165","comestível","convexo","escamoso","branco","manchado","amendoa","livre","perto","largo","preto","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"166","comestível","plano","escamoso","amarelo","manchado","anis","livre","perto","largo","branco","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","marrom","solitario","caminhos"
"167","comestível","sino","macio","branco","manchado","amendoa","livre","perto","largo","branco","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"169","comestível","convexo","escamoso","marrom","manchado","anis","livre","perto","largo","branco","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","preto","solitario","graminea"
"170","comestível","sino","macio","branco","manchado","amendoa","livre","perto","largo","preto","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","espalhado","graminea"
"171","comestível","convexo","fibroso","cinza","sem mancha","nenhum","livre","perto","estreito","cinza","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","solitario","urbano"
"172","comestível","sino","macio","amarelo","manchado","anis","livre","perto","largo","preto","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"174","comestível","sino","escamoso","amarelo","manchado","amendoa","livre","perto","largo","branco","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","espalhado","graminea"
"175","comestível","plano","escamoso","amarelo","manchado","anis","livre","perto","largo","cor de rosa","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"176","comestível","sino","escamoso","branco","manchado","anis","livre","perto","largo","branco","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","numeroso","prados"
"178","comestível","sino","escamoso","amarelo","manchado","amendoa","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"179","comestível","convexo","escamoso","amarelo","manchado","anis","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","numeroso","prados"
"180","comestível","sino","macio","amarelo","manchado","anis","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","numeroso","graminea"
"182","comestível","afunmushroom","fibroso","marrom","sem mancha","nenhum","livre","perto","estreito","cinza","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","solitario","urbano"
"183","comestível","plano","fibroso","marrom","sem mancha","nenhum","livre","perto","estreito","cinza","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","preto","varias","urbano"
"185","comestível","plano","escamoso","marrom","manchado","amendoa","livre","perto","largo","cor de rosa","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","preto","espalhado","caminhos"
"186","venenoso","convexo","escamoso","branco","manchado","forte","livre","perto","estreito","preto","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","preto","espalhado","graminea"
"187","comestível","sino","macio","branco","manchado","anis","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","prados"
"189","comestível","sino","escamoso","amarelo","manchado","anis","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","numeroso","graminea"
"190","comestível","convexo","escamoso","marrom","manchado","amendoa","livre","perto","largo","branco","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","marrom","solitario","caminhos"
"191","comestível","convexo","fibroso","branco","sem mancha","nenhum","livre","lotado","largo","cor de rosa","afilando","uniforme","macio","fibroso","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"192","comestível","convexo","macio","branco","manchado","anis","livre","lotado","estreito","branco","afilando","bulbo","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","madeiras"
"194","comestível","plano","macio","amarelo","manchado","amendoa","livre","lotado","estreito","branco","afilando","bulbo","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","madeiras"
"195","comestível","convexo","macio","amarelo","manchado","amendoa","livre","perto","largo","preto","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","numeroso","prados"
"197","comestível","sino","macio","amarelo","manchado","amendoa","livre","perto","largo","marrom","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","espalhado","graminea"
"198","comestível","convexo","macio","branco","manchado","anis","livre","perto","largo","cinza","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","numeroso","prados"
"201","comestível","convexo","escamoso","amarelo","manchado","anis","livre","perto","largo","branco","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"202","comestível","sino","macio","branco","manchado","anis","livre","perto","largo","branco","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","espalhado","graminea"
"204","comestível","convexo","fibroso","branco","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","fibroso","macio","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"205","comestível","plano","escamoso","marrom","manchado","anis","livre","perto","largo","marrom","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","preto","solitario","caminhos"
"207","comestível","sino","macio","branco","manchado","amendoa","livre","perto","largo","marrom","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","numeroso","graminea"
"209","comestível","sino","escamoso","branco","manchado","anis","livre","perto","largo","marrom","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","numeroso","graminea"
"211","comestível","convexo","macio","amarelo","manchado","amendoa","livre","perto","largo","branco","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","espalhado","graminea"
"213","comestível","convexo","fibroso","amarelo","manchado","amendoa","livre","lotado","estreito","marrom","afilando","bulbo","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","madeiras"
"214","comestível","convexo","fibroso","cinza","sem mancha","nenhum","livre","perto","estreito","marrom","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","solitario","urbano"
"215","comestível","plano","escamoso","amarelo","manchado","amendoa","livre","perto","largo","marrom","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"216","comestível","sino","macio","branco","manchado","anis","livre","perto","largo","marrom","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","numeroso","prados"
"218","comestível","convexo","escamoso","amarelo","manchado","amendoa","livre","perto","largo","preto","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","espalhado","graminea"
"219","comestível","convexo","escamoso","branco","manchado","anis","livre","perto","largo","branco","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"223","comestível","convexo","escamoso","amarelo","manchado","amendoa","livre","perto","largo","marrom","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
